season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Pilot,Greg Daniels,Greg Daniels & Michael Schur,2009-04-09,6770000.0
1,2,2,Canvassing,Seth Gordon,Rachel Axler,2009-04-16,5920000.0
1,3,3,The Reporter,Jeffrey Blitz,Dan Goor,2009-04-23,5240000.0
1,4,4,Boys' Club,Michael McCullers,Alan Yang,2009-04-30,5290000.0
1,5,5,The Banquet,Beth McCarthy-Miller,Tucker Cawley,2009-05-07,4640000.0
1,6,6,Rock Show,Michael Schur,Norm Hiscock,2009-05-14,4250000.0
2,1,7,Pawnee Zoo,Paul Feig,Norm Hiscock,2009-09-17,5000000.0
2,2,8,The Stakeout,Seth Gordon,Rachel Axler,2009-09-24,4220000.0
2,3,9,Beauty Pageant,Jason Woliner,Katie Dippold,2009-10-01,4630000.0
2,4,10,Practice Date,Alex Hardcastle,Harris Wittels,2009-10-08,4970000.0
2,5,11,Sister City,Michael Schur,Alan Yang,2009-10-15,4690000.0
2,6,12,Kaboom,Charles McDougall,Aisha Muharrar,2009-10-22,4980000.0
2,7,13,Greg Pikitis,Dean Holland,Michael Schur,2009-10-29,4960000.0
2,8,14,Ron and Tammy,Troy Miller,Mike Scully,2009-11-05,4940000.0
2,9,15,The Camel,Millicent Shelton,Rachel Axler,2009-11-12,4670000.0
2,10,16,Hunting Trip,Greg Daniels,Dan Goor,2009-11-19,4610000.0
2,11,17,Tom's Divorce,Troy Miller,Harris Wittels,2009-12-03,4830000.0
2,12,18,Christmas Scandal,Randall Einhorn,Michael Schur,2009-12-10,4900000.0
2,13,19,The Set Up,Troy Miller,Katie Dippold,2010-01-14,4590000.0
2,14,20,Leslie's House,Alex Hardcastle,Dan Goor,2010-01-21,4350000.0
2,15,21,Sweetums,Dean Holland,Alan Yang,2010-02-04,4870000.0
2,16,22,Galentine's Day,Ken Kwapis,Michael Schur,2010-02-11,4980000.0
2,17,23,Woman of the Year,Jason Woliner,Norm Hiscock,2010-03-04,4640000.0
2,18,24,The Possum,Tristram Shapeero,Mike Scully,2010-03-11,4610000.0
2,19,25,Park Safety,Michael Trim,Aisha Muharrar,2010-03-18,4700000.0
2,20,26,Summer Catalog,Ken Whittingham,Katie Dippold,2010-03-25,4490000.0
2,21,27,94 Meetings,Tristram Shapeero,Harris Wittels,2010-04-29,4030000.0000000005
2,22,28,Telethon,Troy Miller,Amy Poehler,2010-05-06,4030000.0000000005
2,23,29,The Master Plan,Dean Holland,Michael Schur,2010-05-13,4280000.0
2,24,30,Freddy Spaghetti,Jason Woliner,Dan Goor,2010-05-20,4550000.0
3,1,31,Go Big or Go Home,Dean Holland,Alan Yang,2011-01-20,6140000.0
